t_index,t_rad,X_cm,Y_cm
57,2.911698700363829,-9.532120288401686,2.4494364649015195
58,2.9169434293347636,-9.66635671900017,2.425287561784228
59,2.922188158305698,-9.798225443612221,2.399072523839239
60,2.9274328872766326,-9.927677864496687,2.370824669816929
61,2.932677616247567,-10.054666238725003,2.340578320603208
62,2.9379223452185017,-10.179143698177368,2.308368781706531
63,2.9431670741894362,-10.301064269176962,2.2742323253000305
64,2.9484118031603708,-10.420382891753706,2.2382061718269144
65,2.9536565321313053,-10.537055438529185,2.2003284711775053
66,2.95890126110224,-10.651038733214504,2.160638283446474
67,2.9641459900731744,-10.762290568713071,2.1191755592789994
68,2.969390719044109,-10.870769724820423,2.0759811198147817
69,2.9746354480150434,-10.976435985513387,2.031096636239005
70,2.979880176985978,-11.079250155821091,1.9845646089495204
71,2.9851249059569125,-11.179174078270485,1.9364283463496959
72,2.990369634927847,-11.276170648899175,1.88673194327654
73,2.9956143638987816,-11.370203832828691,1.8355202590738682
74,3.000859092869716,-11.461238679391355,1.7828388953204433
75,3.0061038218406506,-11.549241336804194,1.7287341732231651
76,3.011348550811585,-11.634179066383508,1.6732531106855402
77,3.0165932797825197,-11.71602025629394,1.616443399061804
78,3.021838008753454,-11.79473443482603,1.5583533796072064
79,3.027082737724389,-11.870292283196523,1.499032019635104
80,3.0323274666953237,-11.942665647865788,1.4385288883916567
81,3.0375721956662582,-12.011827552367157,1.376894132658971
82,3.0428169246371928,-12.077752208642757,1.3141784520977835
83,3.0480616536081273,-12.140415027881273,1.2504330743407854
84,3.053306382579062,-12.199792630852537,1.185709729847819
85,3.0585511115499964,-12.255862857734819,1.1200606265343371
86,3.063795840520931,-12.308604777430212,1.0535384241845407
87,3.0690405694918654,-12.357998696364364,0.9861962086607752
88,3.0742852984628,-12.404026166766435,0.9180874659207914
89,3.0795300274337345,-12.446669994425973,0.8492660558546289
90,3.084774756404669,-12.485914245923043,0.7797861859528901
91,3.0900194853756036,-12.52174425532875,0.7097023848183128
92,3.095264214346538,-12.554146630372953,0.639069475532566
93,3.1005089433174726,-12.583109258076785,0.5679425488902952
94,3.105753672288407,-12.608621309847226,0.4963769365124767
95,3.1109984012593417,-12.630673246031813,0.4244281838512134
96,3.116243130230276,-12.649256819931216,0.3521520230981338
97,3.1214878592012107,-12.664365081268203,0.2796043460086185
98,3.1267325881721453,-12.675992379111246,0.2068411766540964
99,3.13197731714308,-12.684134364251701,0.13391864411470095
100,3.1372220461140143,-12.68878799103337,0.06089295512459125
101,3.142466775084949,-12.689951518633745,-0.012179633317728467
102,3.1477115040558834,-12.687624511796336,-0.0852428413617465
103,3.152956233026818,-12.681807841013775,-0.1582403937275815
104,3.1582009619977525,-12.672503682161622,-0.23111604712656042
105,3.163445690968687,-12.659715515583008,-0.303813617667376
106,3.1686904199396215,-12.643448124624552,-0.3762770082354717
107,3.173935148910556,-12.623707593624149,-0.4484502358333107
108,3.1791798778814906,-12.600501305351544,-0.5202774588692071
109,3.184424606852425,-12.573837937902756,-0.5917030043824147
110,3.1896693358233597,-12.543727461049762,-0.6626713951922054
111,3.194914064794294,-12.510181132046966,-0.7331273769586892
