t_index,X_cm,Y_cm
543,4.735,-7.113
544,4.7015,-6.9968
545,4.6659,-6.8794
546,4.6283,-6.7606
547,4.5886,-6.6407
548,4.5469,-6.5196
549,4.5031,-6.3973
550,4.4573,-6.274
551,4.4094,-6.1497
552,4.3594,-6.0245
553,4.3074,-5.8983
554,4.2534,-5.7713
555,4.1974,-5.6434
556,4.1394,-5.5148
557,4.0793,-5.3855
558,4.0173,-5.2555
559,3.9533,-5.125
560,3.8873,-4.9939
561,3.8193,-4.8623
562,3.7494,-4.7302
563,3.6776,-4.5978
564,3.6038,-4.4651
565,3.5282,-4.332
566,3.4506,-4.1987
567,3.3713,-4.0653
568,3.29,-3.9317
569,3.207,-3.798
570,3.1221,-3.6643
571,3.0355,-3.5307
572,2.9471,-3.3971
573,2.857,-3.2637
574,2.7652,-3.1304
575,2.6716,-2.9974
576,2.5765,-2.8646
577,2.4796,-2.7322
578,2.3812,-2.6002
579,2.2812,-2.4686
580,2.1797,-2.3375
581,2.0767,-2.2069
582,1.9721,-2.0769
583,1.8661,-1.9475
584,1.7587,-1.8188
585,1.6499,-1.6908
586,1.5397,-1.5636
587,1.4282,-1.4372
588,1.3154,-1.3117
589,1.2013,-1.187
590,1.0861,-1.0634
591,0.9696,-0.9407
592,0.852,-0.819
593,0.7333,-0.6985
594,0.6136,-0.579
595,0.4927,-0.4607
596,0.371,-0.3436
597,0.2482,-0.2278
598,0.1245,-0.1132
599,0.0,-0.0
