Default 0,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
0.18778207786779788,-3.0855235872095435,-7.612389835310575,-2.563985290793738,-7.484704580908728,2.47074234698027
0.2366907574003907,2.9812856185309897,-7.378593182804612,-2.5456513923961843,-7.249832989109282,2.4378452133843407
0.2609681449915815,3.2021949912227683,-7.144781314665758,-2.5240173922870675,-7.0111152874609655,2.430439655546339
0.22550918326786196,-3.3511939975890606,-6.910952540268136,-2.4987166124984412,-6.795595062962445,2.3977515842004866
0.3076059758464247,3.4719496300453088,-6.6770984064823615,-2.4679156631905457,-6.538831451212003,2.3824845543464708
0.2583983936588101,-3.610117533358274,-6.443235819567203,-2.435281324042897,-6.32313375727764,2.342008772691642
0.2967586948039411,-3.8704588906035653,-6.209358017019152,-2.3993468831836893,-6.093725619763248,2.305890089700755
0.3482900986134485,3.7420201760402385,-5.975468380089964,-2.3608456965488216,-5.846219641662353,2.2765869761240136
0.3419190006121795,-4.119999914974663,-5.741568599405516,-2.3201444421062476,-5.61883118949916,2.22915577066966
0.39645920617156527,3.9650492721831103,-5.507645149958792,-2.2743096961123577,-5.372446969022494,2.1912920395790767
0.3695685413159353,-4.31531260132186,-5.2737115567568065,-2.2262748823107614,-5.154973104995893,2.1421168975914355
0.4217858883978671,4.158761909215613,-5.039759366670177,-2.1742066108617024,-4.917882147209948,2.082924597050754
0.470072130713703,4.378395345146187,-4.805783507821271,-2.1170048478613275,-4.672062803853173,2.0281485498383613
0.40870855911545867,-4.5385461482105,-4.571778908332458,-2.053569559405787,-4.451023419141505,1.960270816771109
0.5128605806327151,4.586455091033795,-4.33776247446251,-1.9875675251745832,-4.21763167153304,1.890785341844369
0.45511511235035407,-4.769797719998337,-4.103710537449148,-1.913865253616411,-3.9842559848704067,1.8178164262220982
0.5060466820987628,-5.022854408280335,-3.8696433848028917,-1.8368628803466756,-3.7509174919770647,1.7367805953049018
0.5723160606352877,4.809297514756619,-3.6355593258978693,-1.7561937273974308,-3.5211089713782115,1.65660823186062
0.5731743350387539,-5.300869643580871,-3.4014465263529416,-1.6692910489930153,-3.2953608978449385,1.5644419503678773
0.6318170748281418,5.04201579841626,-3.167304986168107,-1.5761548451334324,-3.072389755483073,1.4797637849690322
0.6941179388705425,5.272740858250117,-2.9331566834797638,-1.4815519294020447,-2.8546993575804347,1.384134170927382
0.6413837631231285,-5.555466379328262,-2.6989864026550254,-1.3821822000872928,-2.6379995809387005,1.3030637795580287
0.755564126508137,5.480562648085796,-2.4648110499526528,-1.2817124368686859,-2.4289570725211895,1.1962466942735155
0.6988267220819289,-5.769117408654445,-2.2305951222292375,-1.1724424024192537,-2.2222543544418567,1.1239770928659834
0.8149682114840537,5.692258061582907,-1.9963944101387145,-1.066472469681381,-2.042981426848616,1.0143121744510655
0.7539005506453407,-5.968590223219852,-1.762170029285917,-0.9553690453921924,-1.8413499286849984,0.9386448850646385
0.8743362297745954,5.8961310117637264,-1.5279338140519787,-0.8416988753273476,-1.6514257690718939,0.8284785266935479
0.8278218742779089,-6.211201622250098,-1.2936773113075208,-0.7236285696470883,-1.4478363431121917,0.7487328589969167
0.9394782122776917,6.093196914539506,-1.059403902304295,-0.601891484287318,-1.2579422390702302,0.6320477811955829
0.9171600086513276,-6.464534397472669,-0.8251085151646684,-0.4753875853441816,-1.0563456901412653,0.5488003911383501
0.9996769781144774,6.3031784779007,-0.5908012936439047,-0.34631694062539253,-0.8771247818057706,0.42785307370956005
0.9991862135742338,-6.701946159122084,-0.3437833239190162,-0.2116689310256561,-0.6801108597549597,0.3480489046847044
1.0795827195566794,6.520461365195161,-0.15881856363509073,-0.1129430812048664,-0.5248821000806689,0.22240058766679205
1.1533823711653604,6.752299621731718,0.2549566771679199,0.1781404000058675,-0.3304725221690301,0.14637602231159264
1.087310006897681,-6.94444252192709,0.4933176217469821,0.3478044527060753,-0.17525841458567193,0.01754982957143625
1.2221612627341827,6.966454598213857,0.7277989777330589,0.5146429281238305,0.01852827794856715,-0.07878550670418605
1.188299185032136,-7.179294204672992,0.9626932442274043,0.6778577624465427,0.17424016459443337,-0.21443509815230577
1.2843702607673961,7.177254941389201,1.1968124084815166,0.8593202179978796,0.3662347773646957,-0.2862224958778441
1.2683084132704359,-7.394723066571061,1.4313292676110052,1.0338589307426123,0.4488697149445855,-0.4217792664297306
1.3582492590838946,7.360300582990398,1.6680191776837,1.213811535837678,0.644785712235997,-0.4974882665034155
1.348383627149012,-7.5958403762654605,1.8987953999875309,1.3949552451815848,0.7715826529977825,-0.6454928281127756
1.4328952482527306,7.565693580020179,2.133848474234302,1.5838951815097033,0.9649576970642411,-0.7351071842959929
1.4343752118990807,-7.809802526291723,2.358580643311001,1.7622036010828435,1.106513948741643,-0.887645218963657
1.527093990114821,7.791423614108799,2.570147868708215,1.9524191255008478,1.3006779413680434,-0.9775792537366605
1.5210457110164128,-8.020520131874296,2.780256636207156,2.1362339323913364,1.4112815844456463,-1.1267648041259157
1.6168636232112803,8.009173915076692,2.976661586147266,2.3305168434103614,1.6063263546510065,-1.2158850111936523
1.6138912428235308,-8.232290761364833,3.1734171073518134,2.5150885339448443,1.7169171167695474,-1.3678642984815816
